time_in_bed,time_asleep,wakeup_number,hrv,sleep_score
544,544,0,0,60
544,544,0,0,60
544,544,0,0,60
544,544,0,0,60
544,544,0,0,60
544,544,0,0,60
544,544,0,0,60
544,544,0,0,60
544,544,0,0,60
544,544,0,0,60
544,544,0,0,60
544,544,0,0,60
6,6,0,0,60
6,6,0,0,60
420,420,0,84,60
6,6,0,0,60
471,471,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
397,397,0,70,60
397,397,0,70,60
397,397,0,70,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
6,6,0,0,60
274,274,0,0,60
471,471,0,115,60
46,46,0,0,60
470,470,0,0,60
65,65,0,72,60
65,65,0,72,60
65,65,0,72,60
426,426,0,97,60
426,426,0,97,60
426,426,0,97,60
466,466,0,0,60
473,473,0,0,60
473,473,0,0,60
420,420,0,69,60
473,473,0,0,60
471,471,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
473,473,0,0,60
364,364,0,106,60
364,364,0,106,60
364,364,0,106,60
479,479,0,0,60
479,479,0,0,60
479,479,0,0,60
479,479,0,0,60
479,479,0,0,60
479,479,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
467,467,0,97,60
467,467,0,97,60
467,467,0,97,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
356,356,0,71,60
464,464,0,0,60
457,457,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
464,464,0,0,60
419,419,0,0,60
419,419,0,0,60
0,0,0,0,60
419,419,0,0,60
465,465,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
419,419,0,0,60
